t,x,y,vd,xyd,nd,d,st
119,984.562,1136.06,0.353433,0.353433,6,6.63088,0
119,984.904,1136.15,0.353884,0.353883,6,6.61904,0
120,985.246,1136.24,0.354334,0.354334,6,6.60634,0
120,985.589,1136.33,0.355269,0.35527,6,6.59201,0
120,985.932,1136.43,0.355711,0.35571,6,6.57685,0
121,986.275,1136.52,0.356153,0.356153,6,6.56084,0
121,986.618,1136.62,0.356589,0.356588,6,6.54433,0
122,986.962,1136.71,0.357024,0.357025,6,6.52709,0
122,987.306,1136.81,0.357459,0.35746,6,6.50898,0
122,987.65,1136.91,0.358026,0.358026,6,6.48891,0
123,987.994,1137.01,0.358454,0.358454,6,6.46828,0
123,988.339,1137.11,0.358883,0.358883,6,6.44682,0
123,988.683,1137.21,0.359307,0.359307,6,6.42503,0
124,989.028,1137.32,0.359731,0.359731,6,6.40193,0
124,989.373,1137.42,0.360327,0.360327,6,6.37757,0
124,989.718,1137.53,0.360743,0.360742,6,6.35261,0
125,990.063,1137.63,0.36116,0.361161,6,6.32681,0
125,990.409,1137.74,0.361806,0.361806,6,6.30153,0
125,990.755,1137.84,0.362216,0.362217,6,6.27489,0
126,991.102,1137.95,0.362626,0.362626,6,6.24738,0
126,991.448,1138.06,0.363136,0.363137,6,6.22022,0
126,991.795,1138.17,0.363539,0.36354,6,5.24805,0
127,992.142,1138.28,0.363942,0.363942,6,5.28123,0
127,992.49,1138.39,0.364417,0.364417,6,5.31473,0
127,992.837,1138.5,0.364814,0.364813,6,5.34717,0
128,993.185,1138.61,0.36521,0.365211,6,5.37877,0
128,993.533,1138.72,0.365638,0.365638,6,5.41061,0
128,993.882,1138.83,0.366031,0.366031,6,5.4414,0
129,994.23,1138.95,0.366421,0.366421,6,5.47077,0
129,994.578,1139.06,0.366807,0.366808,6,5.49969,0
129,994.927,1139.18,0.367194,0.367193,6,5.5278,0
130,995.274,1139.3,0.367452,0.367452,6,5.55441,0
130,995.623,1139.41,0.367834,0.367834,6,5.58069,0
130,995.971,1139.53,0.368216,0.368217,6,5.60619,0
131,996.086,1139.57,0.362365,0.362375,6,5.61428,0
131,996.428,1139.69,0.362775,0.362775,6,5.63778,0
131,996.771,1139.81,0.363182,0.363181,6,5.66057,0
132,997.115,1139.93,0.363637,0.363636,6,5.68331,0
132,997.458,1140.05,0.364038,0.364037,6,5.70528,0
132,997.802,1140.17,0.364438,0.364439,6,5.72655,0
133,998.149,1140.29,0.367549,0.367549,6,5.74753,0
133,998.495,1140.42,0.36793,0.36793,6,5.76769,0
133,998.842,1140.54,0.368311,0.368311,6,5.78717,0
133,999.188,1140.67,0.368688,0.368688,6,5.8049,0
134,999.535,1140.79,0.369063,0.369064,6,5.82218,0
134,999.881,1140.92,0.369439,0.369439,6,5.83886,0
134,1000.23,1141.05,0.370049,0.370049,6,5.85577,0
135,1000.58,1141.18,0.370418,0.370418,6,5.87187,0
135,1000.92,1141.31,0.370787,0.370787,6,5.88739,0
135,1001.27,1141.44,0.371379,0.371379,6,5.90278,0
136,1001.62,1141.57,0.371742,0.371742,6,5.91736,0
136,1001.97,1141.7,0.372104,0.372105,6,5.93139,0
136,1002.32,1141.83,0.372856,0.372855,6,5.94448,0
137,1002.67,1141.96,0.373211,0.373212,6,5.95722,0
137,1003.01,1142.09,0.373567,0.373567,6,5.96946,0
137,1003.36,1142.23,0.373915,0.373916,6,5.98161,0
138,1003.71,1142.36,0.374267,0.374267,6,5.99326,0
138,1004.06,1142.5,0.374725,0.374725,6,6.00447,0
138,1004.41,1142.63,0.375071,0.375071,6,6.015,0
139,1004.76,1142.77,0.375417,0.375416,6,6.02508,0
139,1005.11,1142.9,0.375762,0.375761,6,6.03478,0
139,1005.46,1143.04,0.376103,0.376103,6,6.04398,0
140,1005.81,1143.18,0.376444,0.376444,6,6.05278,0
140,1006.16,1143.32,0.376922,0.376922,6,6.0623,0
140,1006.52,1143.45,0.377257,0.377257,6,6.07119,0
140,1006.87,1143.59,0.377593,0.377592,6,6.07969,0
141,1007.22,1143.73,0.378112,0.378112,6,6.08819,0
141,1007.57,1143.87,0.378441,0.378441,6,6.09622,0
141,1007.92,1144.01,0.378771,0.378771,6,6.10388,0
142,1008.27,1144.15,0.379181,0.37918,6,6.11184,0
142,1008.63,1144.29,0.379505,0.379505,6,6.11929,0
142,1008.98,1144.43,0.37983,0.37983,6,6.1264,0
142,1009.33,1144.57,0.380211,0.38021,6,6.1337,0
143,1009.69,1144.71,0.38053,0.38053,6,6.14077,0
143,1010.04,1144.85,0.380849,0.380849,6,6.14752,0
143,1010.39,1144.99,0.381193,0.381193,6,6.15466,0
144,1010.75,1145.13,0.381508,0.381508,6,6.16117,0
144,1011.1,1145.28,0.381822,0.381822,6,6.16738,0
144,1011.46,1145.42,0.382031,0.382031,6,6.17289,0
145,1011.81,1145.56,0.382341,0.382341,6,6.17848,0
145,1012.17,1145.7,0.382652,0.382651,6,6.18381,0
145,1012.34,1145.78,0.377897,0.377897,6,6.1864,0
145,1012.69,1145.92,0.378228,0.378228,6,6.19121,0
146,1013.05,1146.06,0.378558,0.378558,6,6.19582,0
146,1013.4,1146.2,0.378933,0.378933,6,6.20075,0
146,1013.75,1146.34,0.379259,0.379259,6,6.20544,0
147,1014.1,1146.49,0.379584,0.379584,6,6.20994,0
147,1014.45,1146.63,0.382109,0.382109,6,6.21513,0
147,1014.81,1146.77,0.382419,0.382419,6,6.21995,0
148,1015.16,1146.92,0.382729,0.382729,6,6.22458,0
148,1015.52,1147.06,0.383036,0.383036,6,6.22824,0
148,1015.87,1147.21,0.383339,0.383339,6,6.23219,0
149,1016.23,1147.35,0.383643,0.383643,6,6.23599,0
149,1016.58,1147.5,0.383947,0.383946,6,6.23966,0
149,1016.94,1147.64,0.38444,0.38444,6,6.24366,0
150,1017.29,1147.79,0.384738,0.384738,6,6.24728,0
150,1017.65,1147.93,0.385036,0.385036,6,6.2508,0
150,1018.01,1148.08,0.385514,0.385514,6,6.25359,0
151,1018.36,1148.23,0.385807,0.385807,6,6.25672,0
151,1018.72,1148.37,0.3861,0.3861,6,6.25979,0
151,1019.08,1148.52,0.386708,0.386707,6,6.26399,0
151,1019.44,1148.67,0.386995,0.386995,6,6.26776,0
152,1019.8,1148.81,0.387282,0.387282,6,6.27145,0
152,1020.15,1148.96,0.387565,0.387565,6,6.27471,0
152,1020.51,1149.11,0.387848,0.387848,6,6.27792,0
153,1020.87,1149.25,0.388131,0.388131,6,6.2811,0
153,1021.23,1149.4,0.388499,0.388499,6,6.28475,0
153,1021.59,1149.55,0.388777,0.388777,6,6.3504,0
154,1021.95,1149.7,0.389055,0.389055,6,6.34994,0
